Sample_ID,gRNA_recovered,TTB,TTN,TTB_million,Mouse_Ear_Tag,Mouse_genotype,Sex,Pooling_library_name,Time_after_tumor_initiation,Total_lung_weight,Virus_titer,Correction_for_spikein,Cell_number_per_read,TTR,Mean_count,max_least_ratio,Spikein_read_ratio
28858,24.0,15307185.54849146,13256.0,15.307185548491459,28858.0,KT,M,Library 1,12.0,0.3189,"300,000",No,0.7053645323903392,21727389,708853.3333333334,2.303647495965889,0.09787462267095232
28875,24.0,29851019.93236217,15899.0,29.85101993236217,28875.0,KT,M,Library 1,12.0,0.4423,"300,000",No,1.9870102516482249,15048872,251634.33333333334,1.7576233971083757,0.05016342753131264
28878,24.0,17707054.97216599,11037.0,17.70705497216599,28878.0,KT,M,Library 1,12.0,0.2928,"300,000",No,1.129626951995373,15717182,442624.0,1.8963497157882525,0.0844853740320625
29458,24.0,185372945.5211463,9915.0,185.3729455211463,29458.0,KTC,F,Library 1,12.0,0.3688,"180,000",No,8.978057627159222,20657537,55691.333333333336,2.281841942967901,0.008087798656732407
29462,24.0,133393699.836844,9533.0,133.393699836844,29462.0,KTC,M,Library 1,12.0,0.5387,"180,000",No,10.974619363618405,12161887,45559.666666666664,2.1795222526189364,0.011238305371526638
29463,24.0,105840009.44218478,12146.0,105.84000944218478,29463.0,KTC,F,Library 1,12.0,0.3212,"180,000",No,6.052682548905675,17499765,82608.0,2.017012782478116,0.014161561598112889
29466,24.0,31984598.328975648,9072.0,31.984598328975647,29466.0,KTC,M,Library 1,12.0,0.3041,"180,000",No,1.8983160670940833,16913706,263391.3333333333,1.5847788158079155,0.046717969438513356
29467,24.0,38896288.84737677,7376.0,38.89628884737677,29467.0,KTC,M,Library 1,12.0,0.2347,"180,000",No,3.463619297439462,11245919,144357.66666666666,1.7249066549527783,0.03850934725743623
29469,24.0,160667427.85057798,9920.0,160.66742785057798,29469.0,KTC,F,Library 1,12.0,0.3133,"180,000",No,7.723399325489792,20815351,64738.333333333336,2.4433485622144584,0.009330373530573663
29470,24.0,115203329.52114624,10855.0,115.20332952114624,29470.0,KTC,F,Library 1,12.0,0.3593,"180,000",No,5.699283030194802,20227879,87730.33333333333,1.9148506651482995,0.013011299899509979
29474,24.0,52300644.30524117,9517.0,52.300644305241164,29474.0,KTC,M,Library 1,12.0,0.2972,"180,000",No,3.7271803383782793,14053280,134149.66666666666,1.6381049581279217,0.02863737148907586
29475,24.0,53474054.55486447,10283.0,53.47405455486447,29475.0,KTC,F,Library 1,12.0,0.2818,"180,000",No,3.4657079748250976,15450779,144270.66666666666,2.2816540228656907,0.028012309282269846
29476,24.0,37401359.597826906,7633.0,37.401359597826904,29476.0,KTC,M,Library 1,12.0,0.2854,"180,000",No,2.3579566890515355,15888472,212048.0,2.061547447261733,0.04003808547480211
29478,24.0,55268367.29869025,12099.0,55.26836729869025,29478.0,KTC,M,Library 1,12.0,0.3384,"180,000",No,4.728355950635964,11706199,105745.0,1.930119586424751,0.02709974433204151
29479,24.0,60333346.336461514,9216.0,60.33334633646152,29479.0,KTC,F,Library 1,12.0,0.2493,"180,000",No,5.5727692204810415,10837779,89722.0,1.7957624572597606,0.02483590041834217
29480,24.0,68220692.23141862,5783.0,68.22069223141862,29480.0,KTC,M,Library 1,12.0,0.3235,"180,000",No,5.164364507732776,13220819,96817.33333333333,2.10414762520092,0.021969289497118145
29484,24.0,44682399.318981014,4629.0,44.68239931898101,29484.0,KTC,M,Library 1,12.0,0.2884,"180,000",No,3.9779146180406384,11237675,125694.0,1.7134900735747463,0.033555161543646704
29535,24.0,15548375.063103048,4090.0,15.548375063103048,29535.0,KT,F,Library 1,12.0,0.2823,"300,000",No,0.6689368898180671,23302422,747454.6666666666,1.650894603139792,0.09622879544452503
29536,24.0,71442802.16453797,29934.0,71.44280216453797,29536.0,KT,F,Library 1,12.0,0.3771,"300,000",No,4.000501396174988,17890328,124984.33333333333,1.8910100130605136,0.02095841954378925
29537,24.0,36887822.85591791,7941.0,36.88782285591791,29537.0,KT,F,Library 1,12.0,0.3675,"300,000",No,2.748294683149106,13442471,181931.0,1.6168357170139627,0.040602133342895065
29538,24.0,12609995.133799404,2395.0,12.609995133799403,29538.0,KT,F,Library 1,12.0,0.3388,"300,000",No,0.791681224804745,15956949,631567.3333333334,1.8010369577413925,0.11873836282863347
29558,24.0,81653105.60513987,8132.0,81.65310560513987,29558.0,KTC,F,Library 1,12.0,0.2725,"180,000",No,3.0343979349910586,26928392,164777.33333333334,1.8008868932463955,0.018357278815608447
29785,24.0,109059120.50980315,12493.0,109.05912050980315,29785.0,KTC,M,Library 1,12.0,0.2914,"180,000",No,7.479506153140396,14588356,66849.33333333333,2.1376982426060867,0.0137471281890845
29790,24.0,46057404.69602699,10507.0,46.057404696026985,29790.0,KTC,F,Library 1,12.0,0.2503,"180,000",No,4.248004146052047,10868244,117702.33333333333,1.5678533589804253,0.03248979319934297
29791,24.0,53815570.77737751,10108.0,53.81557077737751,29791.0,KTC,M,Library 1,12.0,0.2749,"180,000",No,3.350091234151277,16083286,149249.66666666666,1.7548223801065719,0.027839397993668708
29795,24.0,54401299.75333148,10579.0,54.401299753331486,29795.0,KTC,F,Library 1,12.0,0.286,"180,000",No,5.473413804679404,9965205,91350.66666666667,1.5461386190532374,0.0275008893444741
29833,24.0,137321988.19328037,9175.0,137.32198819328036,29833.0,KTC,F,Library 1,12.0,0.2805,"180,000",No,9.110123168865243,15082021,54884.0,2.1136284326094543,0.010917104544543466
29836,24.0,115836916.45679402,11554.0,115.83691645679403,29836.0,KTC,F,Library 1,12.0,0.4244,"180,000",No,12.50896475807662,9268036,39971.333333333336,1.6814967130884506,0.012938447800591193
29837,24.0,43533447.91272245,9539.0,43.53344791272245,29837.0,KTC,M,Library 1,12.0,0.309,"180,000",No,2.9581597879591066,14761812,169024.0,2.0979591836734692,0.034350254562244796
29839,24.0,57283022.487477355,9826.0,57.28302248747735,29839.0,KTC,F,Library 1,12.0,0.2177,"180,000",No,5.328786102525845,10758149,93830.0,2.185399974153528,0.02616528177849182
29898,24.0,169722852.1891628,7378.0,169.72285218916278,29898.0,KTC,F,Library 1,12.0,0.2503,"180,000",No,14.946491560214433,11359254,33452.666666666664,2.592755653392035,0.008834911165821276
29912,24.0,43305039.295003474,14150.0,43.305039295003475,29912.0,KTC,M,Library 1,12.0,0.2375,"180,000",No,3.5053526735324843,12376157,142639.0,1.9367591702707032,0.0345759188413657
29915,24.0,17067172.501379956,2072.0,17.067172501379954,29915.0,KTC,F,Library 1,12.0,0.2341,"180,000",No,3.3657492382187555,5073968,148555.33333333334,2.2334960471700986,0.08783382157711676
